"PolicyID","ClaimAmount","ClaimNb","Exposure","Power","CarAge","DriverAge","Brand","Gas","Region","Density"
31170,1097,1,0.45,"i",5,20,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",29
31182,783,1,0.37,"g",1,23,"Volkswagen, Audi, Skoda or Seat","Diesel","Bretagne",444
31223,1117,1,0.45,"g",12,70,"Renault, Nissan or Citroen","Regular","Poitou-Charentes",1974
31250,958,1,1,"f",7,24,"Renault, Nissan or Citroen","Regular","Centre",2399
31264,2045,1,0.8,"f",11,39,"Renault, Nissan or Citroen","Regular","Centre",144
31273,1746,1,0.17,"g",5,31,"Opel, General Motors or Ford","Regular","Ile-de-France",104
31274,1078,1,0.42,"g",3,31,"Opel, General Motors or Ford","Regular","Ile-de-France",104
31297,1146,1,1,"i",8,33,"Mercedes, Chrysler or BMW","Regular","Centre",1314
31355,37,1,0.75,"d",5,52,"other","Regular","Centre",312
31382,1579,1,0.11,"f",12,25,"Renault, Nissan or Citroen","Diesel","Ile-de-France",704
31423,1074,1,0.39,"e",10,49,"Volkswagen, Audi, Skoda or Seat","Regular","Centre",388
31496,5179,1,0.53,"e",4,31,"Volkswagen, Audi, Skoda or Seat","Diesel","Bretagne",94
31499,14737,1,0.45,"j",19,49,"Mercedes, Chrysler or BMW","Diesel","Bretagne",229
31542,1864,1,0.85,"d",5,30,"Opel, General Motors or Ford","Diesel","Centre",2715
31556,1200,1,1,"g",2,70,"Renault, Nissan or Citroen","Regular","Centre",26
31592,7785,1,0.21,"f",7,24,"Renault, Nissan or Citroen","Diesel","Centre",56
31628,644,1,1,"f",7,45,"Renault, Nissan or Citroen","Diesel","Ile-de-France",6570
31641,486,1,0.5,"f",9,22,"Renault, Nissan or Citroen","Diesel","Centre",741
31676,371,1,0.05,"e",16,49,"Renault, Nissan or Citroen","Regular","Centre",192
31723,1091,1,0.02,"d",12,66,"Renault, Nissan or Citroen","Regular","Centre",91
31775,264,1,0.51,"d",23,36,"Renault, Nissan or Citroen","Regular","Centre",57
31779,1195,1,0.75,"g",1,57,"Renault, Nissan or Citroen","Diesel","Centre",23
31832,1206,1,0.31,"f",4,40,"Renault, Nissan or Citroen","Diesel","Centre",13
31879,23,1,0.72,"h",4,32,"Renault, Nissan or Citroen","Diesel","Centre",44
31883,1266,1,1,"h",19,29,"Renault, Nissan or Citroen","Diesel","Centre",1054
31893,3319,2,0.46,"f",13,63,"Renault, Nissan or Citroen","Diesel","Centre",1054
31893,256,2,0.46,"f",13,63,"Renault, Nissan or Citroen","Diesel","Centre",1054
31903,1165,1,0.57,"e",11,44,"Fiat","Regular","Centre",1054
31923,5901,1,0.07,"i",13,43,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",1489
31938,179,1,1,"h",9,57,"Mercedes, Chrysler or BMW","Diesel","Centre",126
31940,1211,1,0.82,"d",3,27,"Opel, General Motors or Ford","Diesel","Centre",1054
31945,48,1,0.51,"f",15,44,"other","Regular","Centre",399
31958,1082,1,0.1,"e",14,25,"Renault, Nissan or Citroen","Regular","Centre",1054
31972,70,1,1,"g",1,44,"Volkswagen, Audi, Skoda or Seat","Regular","Ile-de-France",465
31996,208,1,1,"e",6,34,"Opel, General Motors or Ford","Diesel","Centre",1054
32013,2463,1,0.72,"g",12,62,"Renault, Nissan or Citroen","Regular","Centre",1054
32033,3847,1,0.91,"e",4,37,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",73
32046,1115,1,0.72,"g",12,52,"Japanese (except Nissan) or Korean","Diesel","Centre",1054
32051,1132,1,0.21,"f",9,57,"Renault, Nissan or Citroen","Diesel","Centre",1054
32056,549,1,0.48,"g",5,63,"Renault, Nissan or Citroen","Regular","Centre",1054
32070,2382,1,0.61,"f",1,42,"Renault, Nissan or Citroen","Diesel","Centre",7
32081,922,1,0.13,"f",3,53,"Opel, General Motors or Ford","Regular","Centre",1054
32104,1929,1,0.02,"h",15,21,"Opel, General Motors or Ford","Regular","Centre",1054
32105,2273,1,0.05,"h",15,21,"Opel, General Motors or Ford","Regular","Centre",1054
32111,2392,1,0.63,"g",12,44,"Renault, Nissan or Citroen","Diesel","Centre",308
32112,1128,1,0.16,"g",14,25,"Renault, Nissan or Citroen","Diesel","Centre",1054
32113,1106,2,0.46,"g",14,25,"Renault, Nissan or Citroen","Diesel","Centre",1054
32113,1075,2,0.46,"g",14,25,"Renault, Nissan or Citroen","Diesel","Centre",1054
32127,1074,1,0.58,"f",16,38,"Renault, Nissan or Citroen","Diesel","Centre",1054
32130,371,1,0.54,"g",5,50,"Mercedes, Chrysler or BMW","Diesel","Centre",1054
32135,1171,1,0.41,"e",2,40,"Mercedes, Chrysler or BMW","Diesel","Centre",376
32139,45,1,0.5,"g",0,52,"Opel, General Motors or Ford","Regular","Centre",128
32156,481,1,0.18,"d",8,27,"Fiat","Regular","Centre",1054
32160,76,1,0.25,"f",14,23,"Renault, Nissan or Citroen","Regular","Centre",1054
32175,1136,1,0.33,"d",16,21,"Renault, Nissan or Citroen","Regular","Centre",1054
32236,500,1,0.42,"f",18,19,"Volkswagen, Audi, Skoda or Seat","Diesel","Nord-Pas-de-Calais",65
32257,563,1,0.18,"e",0,31,"Renault, Nissan or Citroen","Diesel","Nord-Pas-de-Calais",180
32279,497,1,0.19,"g",12,34,"Opel, General Motors or Ford","Diesel","Nord-Pas-de-Calais",330
32294,558,1,0.8,"d",0,26,"Renault, Nissan or Citroen","Regular","Ile-de-France",27000
32296,116,1,0.75,"g",1,50,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",1920
32297,1101,1,1,"d",6,44,"Fiat","Regular","Aquitaine",1445
32316,1185,1,1,"d",9,66,"Fiat","Regular","Aquitaine",4253
32327,1150,1,1,"g",13,51,"Renault, Nissan or Citroen","Diesel","Aquitaine",1535
32353,2047,1,0.88,"f",6,60,"Renault, Nissan or Citroen","Diesel","Aquitaine",52
32385,1300,1,0.84,"f",1,48,"other","Diesel","Aquitaine",254
32387,1165,1,0.83,"e",4,57,"Renault, Nissan or Citroen","Diesel","Aquitaine",300
32412,812,1,0.79,"d",10,49,"Renault, Nissan or Citroen","Diesel","Aquitaine",2906
32454,1143,1,0.11,"d",14,55,"Renault, Nissan or Citroen","Regular","Aquitaine",170
32464,1137,1,0.65,"g",10,24,"Renault, Nissan or Citroen","Diesel","Aquitaine",82
32478,717,1,0.58,"g",4,37,"Renault, Nissan or Citroen","Diesel","Aquitaine",1882
32485,1072,1,0.54,"o",0,75,"other","Regular","Aquitaine",4348
32507,381,1,0.07,"h",16,24,"Renault, Nissan or Citroen","Regular","Bretagne",644
32524,1125,1,0.11,"h",3,53,"Renault, Nissan or Citroen","Diesel","Bretagne",644
32528,1141,1,1,"i",9,33,"Renault, Nissan or Citroen","Regular","Ile-de-France",1350
32550,1167,1,0.37,"g",8,30,"Opel, General Motors or Ford","Regular","Bretagne",3386
32561,2705,1,0.65,"f",9,48,"Volkswagen, Audi, Skoda or Seat","Diesel","Bretagne",644
32563,114,1,0.44,"h",10,55,"Renault, Nissan or Citroen","Diesel","Bretagne",73
32608,223,1,0.64,"e",10,20,"Renault, Nissan or Citroen","Regular","Bretagne",644
32632,1141,1,0.12,"g",8,43,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",4128
32637,704,1,0.05,"e",14,22,"Renault, Nissan or Citroen","Regular","Centre",30
32640,1131,1,1,"f",2,31,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",16
32656,986,1,0.41,"j",4,70,"Renault, Nissan or Citroen","Regular","Ile-de-France",27000
32678,82,1,1,"g",2,31,"Opel, General Motors or Ford","Regular","Haute-Normandie",4059
32679,142,1,0.89,"g",2,35,"Renault, Nissan or Citroen","Diesel","Nord-Pas-de-Calais",7887
32700,277,1,0.89,"e",17,19,"Volkswagen, Audi, Skoda or Seat","Regular","Aquitaine",53
32705,1092,1,0.89,"g",9,26,"Fiat","Diesel","Aquitaine",37
32709,2374,1,0.2,"d",11,39,"Volkswagen, Audi, Skoda or Seat","Diesel","Aquitaine",2620
32716,1110,1,0.46,"d",10,21,"Renault, Nissan or Citroen","Regular","Aquitaine",92
32724,1746,1,0.03,"e",2,54,"Renault, Nissan or Citroen","Diesel","Aquitaine",260
32759,1219,1,0.35,"j",10,71,"Renault, Nissan or Citroen","Regular","Aquitaine",32
32761,13000,1,0.13,"h",10,25,"Renault, Nissan or Citroen","Diesel","Aquitaine",120
32802,1138,1,1,"d",13,32,"Opel, General Motors or Ford","Diesel","Bretagne",461
32809,1227,1,1,"i",8,43,"Renault, Nissan or Citroen","Regular","Bretagne",139
32812,1163,1,0.18,"i",10,20,"Volkswagen, Audi, Skoda or Seat","Regular","Bretagne",1690
32826,1120,1,0.05,"g",12,55,"Mercedes, Chrysler or BMW","Diesel","Bretagne",3021
32832,1096,1,0.36,"h",9,45,"Volkswagen, Audi, Skoda or Seat","Regular","Bretagne",285
32839,1121,1,0.23,"g",13,37,"Mercedes, Chrysler or BMW","Regular","Bretagne",73
32861,1189,1,0.38,"g",8,40,"Renault, Nissan or Citroen","Diesel","Bretagne",3021
32896,1099,1,0.66,"e",13,56,"Renault, Nissan or Citroen","Regular","Centre",7
32914,1085,1,0.88,"i",13,51,"Mercedes, Chrysler or BMW","Diesel","Centre",3866
32921,1121,1,1,"g",5,48,"Opel, General Motors or Ford","Diesel","Centre",149
32938,1191,1,1,"f",18,79,"Opel, General Motors or Ford","Regular","Centre",9
32986,2352,1,0.21,"f",4,20,"Volkswagen, Audi, Skoda or Seat","Regular","Centre",222
32991,1178,1,0.32,"g",15,19,"Opel, General Motors or Ford","Regular","Centre",394
33001,2902,1,0.4,"d",11,42,"Renault, Nissan or Citroen","Diesel","Centre",239
33089,1116,1,0.93,"f",5,68,"Renault, Nissan or Citroen","Diesel","Centre",2715
33102,1097,1,0.99,"f",12,44,"Renault, Nissan or Citroen","Diesel","Centre",57
33106,1140,1,0.33,"g",18,20,"Renault, Nissan or Citroen","Regular","Centre",4116
33145,1083,1,0.69,"f",6,26,"Renault, Nissan or Citroen","Diesel","Centre",176
33149,2210,1,0.43,"f",7,47,"Renault, Nissan or Citroen","Diesel","Centre",4116
33154,1191,1,0.06,"h",9,27,"Opel, General Motors or Ford","Regular","Centre",1027
33164,1164,2,0.75,"e",14,44,"Renault, Nissan or Citroen","Regular","Centre",44
33164,2017,2,0.75,"e",14,44,"Renault, Nissan or Citroen","Regular","Centre",44
33165,1097,1,0.75,"d",13,82,"Renault, Nissan or Citroen","Regular","Centre",4116
33166,763,1,0.08,"e",16,34,"Volkswagen, Audi, Skoda or Seat","Regular","Centre",4116
33195,96,1,0.12,"f",6,20,"Renault, Nissan or Citroen","Diesel","Centre",26
33216,1137,1,0.47,"e",16,35,"Renault, Nissan or Citroen","Diesel","Ile-de-France",9817
33227,60,1,0.77,"m",7,47,"Mercedes, Chrysler or BMW","Regular","Centre",1943
33242,201,1,0.64,"g",10,52,"Renault, Nissan or Citroen","Regular","Centre",51
33248,1178,1,0.25,"h",4,22,"Fiat","Diesel","Centre",42
33257,1078,1,0.47,"e",6,43,"Volkswagen, Audi, Skoda or Seat","Regular","Centre",33
33265,374,1,0.58,"e",8,39,"Renault, Nissan or Citroen","Diesel","Centre",42
33273,1306,1,0.52,"f",14,39,"Fiat","Regular","Centre",49
33289,4161,1,0.26,"f",7,43,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",25
33297,1775,1,0.31,"e",0,49,"Renault, Nissan or Citroen","Diesel","Centre",2928
33342,1228,1,0.77,"f",9,47,"Fiat","Diesel","Centre",8
33344,1155,1,1,"g",15,47,"Renault, Nissan or Citroen","Regular","Centre",8
33354,348,1,0.31,"f",7,19,"Volkswagen, Audi, Skoda or Seat","Diesel","Pays-de-la-Loire",3541
33388,1137,1,0.86,"d",6,48,"Fiat","Regular","Centre",1313
33389,1146,1,0.07,"g",16,21,"Renault, Nissan or Citroen","Regular","Centre",10
33402,1106,1,0.66,"f",9,23,"Fiat","Regular","Centre",369
33430,638,1,0.81,"g",14,30,"Volkswagen, Audi, Skoda or Seat","Regular","Centre",1313
33437,525,1,0.77,"g",1,55,"Renault, Nissan or Citroen","Diesel","Centre",1313
33525,1072,1,1,"d",12,80,"Opel, General Motors or Ford","Regular","Nord-Pas-de-Calais",1442
33529,1115,1,1,"f",8,45,"Renault, Nissan or Citroen","Diesel","Nord-Pas-de-Calais",551
33553,1146,1,0.35,"f",3,45,"Renault, Nissan or Citroen","Diesel","Nord-Pas-de-Calais",3490
33572,566,1,0.95,"e",0,31,"Opel, General Motors or Ford","Diesel","Aquitaine",1445
33602,1170,1,0.43,"d",9,34,"Renault, Nissan or Citroen","Regular","Nord-Pas-de-Calais",3098
33612,1109,1,0.37,"f",13,62,"Renault, Nissan or Citroen","Diesel","Nord-Pas-de-Calais",3095
33634,1155,1,0.9,"d",4,42,"Renault, Nissan or Citroen","Regular","Nord-Pas-de-Calais",1466
33637,1159,1,0.88,"d",4,41,"Renault, Nissan or Citroen","Regular","Nord-Pas-de-Calais",269
33650,1091,1,0.78,"d",12,49,"Renault, Nissan or Citroen","Diesel","Nord-Pas-de-Calais",431
33732,1031,1,0.3,"f",15,34,"Volkswagen, Audi, Skoda or Seat","Regular","Limousin",213
33748,140,1,0.35,"i",6,27,"Volkswagen, Audi, Skoda or Seat","Regular","Limousin",213
33783,607,1,0.18,"h",10,52,"other","Diesel","Limousin",9
33827,893,1,0.37,"f",0,31,"Renault, Nissan or Citroen","Diesel","Aquitaine",25
33885,1138,1,1,"d",13,60,"Renault, Nissan or Citroen","Regular","Centre",149
33923,1208,1,0.46,"g",9,71,"Fiat","Diesel","Centre",149
33930,1167,1,1,"d",4,69,"Renault, Nissan or Citroen","Regular","Centre",149
33939,1016,1,1,"h",16,24,"Mercedes, Chrysler or BMW","Regular","Centre",149
33943,3182,1,0.96,"g",11,74,"Fiat","Diesel","Centre",149
33961,1142,1,0.82,"d",1,60,"Renault, Nissan or Citroen","Regular","Centre",149
33984,1195,1,0.62,"d",4,20,"Renault, Nissan or Citroen","Regular","Basse-Normandie",122
33986,1145,1,1,"e",2,47,"Renault, Nissan or Citroen","Diesel","Haute-Normandie",133
34007,401,1,1,"j",3,44,"Japanese (except Nissan) or Korean","Regular","Basse-Normandie",59
34025,109,1,1,"d",2,30,"Renault, Nissan or Citroen","Regular","Haute-Normandie",133
34071,68,1,0.92,"j",4,50,"Mercedes, Chrysler or BMW","Diesel","Haute-Normandie",111
34090,1067,1,0.53,"d",6,24,"Renault, Nissan or Citroen","Regular","Basse-Normandie",293
34092,1161,1,0.63,"f",1,24,"other","Diesel","Basse-Normandie",598
34102,1108,2,0.44,"h",18,32,"Renault, Nissan or Citroen","Diesel","Haute-Normandie",60
34102,1175,2,0.44,"h",18,32,"Renault, Nissan or Citroen","Diesel","Haute-Normandie",60
34165,1133,1,0.92,"e",11,27,"Renault, Nissan or Citroen","Diesel","Poitou-Charentes",68
34195,1177,1,0.71,"h",11,44,"other","Diesel","Poitou-Charentes",122
34219,1075,1,0.21,"f",11,48,"Renault, Nissan or Citroen","Diesel","Poitou-Charentes",886
34249,1076,1,1,"e",7,33,"Renault, Nissan or Citroen","Regular","Ile-de-France",2375
34264,580,1,0.5,"g",11,43,"Volkswagen, Audi, Skoda or Seat","Regular","Ile-de-France",27000
34270,3547,1,1,"f",8,33,"Renault, Nissan or Citroen","Diesel","Ile-de-France",6944
34293,3716,1,0.87,"e",0,55,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",7634
34298,1148,1,0.59,"f",11,48,"Opel, General Motors or Ford","Regular","Ile-de-France",930
34324,586,1,0.06,"f",5,33,"Renault, Nissan or Citroen","Diesel","Ile-de-France",3339
34395,1148,1,0.09,"f",7,28,"Renault, Nissan or Citroen","Regular","Ile-de-France",16291
34451,1088,2,0.77,"j",9,49,"Opel, General Motors or Ford","Diesel","Basse-Normandie",2103
34451,1143,2,0.77,"j",9,49,"Opel, General Motors or Ford","Diesel","Basse-Normandie",2103
34465,210,1,0.71,"g",10,62,"Renault, Nissan or Citroen","Regular","Basse-Normandie",196
34474,1114,1,1,"e",7,59,"Renault, Nissan or Citroen","Regular","Centre",105
34482,1111,1,1,"d",5,82,"Renault, Nissan or Citroen","Regular","Centre",20
34484,1117,1,0.94,"i",19,29,"Opel, General Motors or Ford","Regular","Centre",105
34509,1124,1,0.74,"d",11,37,"Renault, Nissan or Citroen","Regular","Centre",105
34511,4511,1,0.22,"d",15,19,"Renault, Nissan or Citroen","Regular","Centre",105
34522,5492,1,0.66,"f",6,23,"Fiat","Diesel","Ile-de-France",1784
34590,12318,1,0.27,"e",7,26,"Opel, General Motors or Ford","Diesel","Aquitaine",415
34592,629,1,0.48,"d",1,28,"Opel, General Motors or Ford","Diesel","Bretagne",3021
34604,6870,1,0.17,"e",9,39,"Fiat","Diesel","Centre",1193
34642,62,1,0.35,"f",3,29,"Renault, Nissan or Citroen","Diesel","Centre",754
34645,1324,1,0.6,"e",3,47,"Opel, General Motors or Ford","Regular","Ile-de-France",14368
34649,2050,1,0.56,"e",0,51,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",2715
34659,1144,1,0.45,"j",0,32,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",11
34744,1103,1,0.18,"e",10,47,"Opel, General Motors or Ford","Diesel","Centre",1109
34753,9588,1,0.73,"g",1,31,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",26
34771,88,1,0.53,"f",14,41,"Renault, Nissan or Citroen","Regular","Centre",149
34778,16740,1,0.48,"f",7,30,"Renault, Nissan or Citroen","Diesel","Centre",20
34806,1132,1,0.44,"f",8,22,"Fiat","Diesel","Basse-Normandie",2710
34811,1088,1,0.12,"f",20,47,"other","Regular","Centre",14
34815,1698,1,0.35,"d",0,21,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",149
34867,1143,1,0.22,"f",6,55,"Fiat","Diesel","Centre",81
34883,1128,1,0.36,"g",9,26,"Renault, Nissan or Citroen","Diesel","Centre",220
34893,1120,1,0.43,"h",13,53,"Renault, Nissan or Citroen","Regular","Centre",43
34894,1122,1,0.37,"h",13,53,"Renault, Nissan or Citroen","Regular","Centre",43
34916,306,3,0.66,"f",1,35,"Fiat","Diesel","Ile-de-France",136
34916,1133,3,0.66,"f",1,35,"Fiat","Diesel","Ile-de-France",136
34916,1122,3,0.66,"f",1,35,"Fiat","Diesel","Ile-de-France",136
34947,2517,1,0.52,"g",12,35,"Renault, Nissan or Citroen","Diesel","Centre",50
34952,75,1,1,"d",12,26,"Renault, Nissan or Citroen","Regular","Ile-de-France",27000
34975,1120,1,0.83,"e",2,43,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",298
34983,1159,1,0.21,"g",11,20,"Fiat","Regular","Centre",56
35024,1271,1,0.57,"f",3,30,"Renault, Nissan or Citroen","Diesel","Centre",115
35031,12,1,0.5,"e",5,69,"Opel, General Motors or Ford","Diesel","Centre",125
35044,2138,1,0.23,"e",13,18,"Renault, Nissan or Citroen","Diesel","Centre",50
35084,75060,1,0.48,"g",12,41,"Opel, General Motors or Ford","Regular","Bretagne",25
35104,12748,1,0.13,"e",10,32,"Renault, Nissan or Citroen","Regular","Bretagne",70
35114,88,1,0.88,"j",9,61,"Renault, Nissan or Citroen","Regular","Bretagne",70
35119,540,1,0.83,"f",9,31,"Renault, Nissan or Citroen","Diesel","Bretagne",837
35133,2584,1,0.04,"e",14,41,"Renault, Nissan or Citroen","Regular","Bretagne",634
35146,824,1,0.62,"i",17,47,"Mercedes, Chrysler or BMW","Regular","Bretagne",65
35149,1089,1,0.3,"d",9,19,"Renault, Nissan or Citroen","Regular","Bretagne",34
35171,1100,1,0.39,"g",14,42,"Renault, Nissan or Citroen","Regular","Bretagne",634
35196,1157,1,0.07,"d",11,66,"Fiat","Regular","Bretagne",52
35214,551,1,0.54,"g",13,46,"Renault, Nissan or Citroen","Diesel","Poitou-Charentes",238
35222,13549,1,0.89,"f",12,33,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",70
35225,845,1,1,"d",8,40,"Fiat","Regular","Basse-Normandie",109
35236,1124,1,0.47,"g",16,33,"Renault, Nissan or Citroen","Regular","Basse-Normandie",85
35270,1356,1,0.33,"d",1,54,"Renault, Nissan or Citroen","Regular","Basse-Normandie",67
35290,1094,1,0.42,"e",4,20,"Renault, Nissan or Citroen","Regular","Ile-de-France",14200
35297,1109,1,0.74,"f",14,27,"Renault, Nissan or Citroen","Regular","Centre",36
35318,1122,2,0.43,"f",13,20,"Renault, Nissan or Citroen","Regular","Centre",203
35318,1402330,2,0.43,"f",13,20,"Renault, Nissan or Citroen","Regular","Centre",203
35319,151,1,0.8,"e",4,40,"Volkswagen, Audi, Skoda or Seat","Diesel","Pays-de-la-Loire",19
35338,1122,1,0.53,"f",4,33,"Renault, Nissan or Citroen","Diesel","Centre",741
35342,1165,1,0.31,"f",8,43,"Fiat","Diesel","Centre",741
35355,1262,1,0.39,"g",16,41,"Renault, Nissan or Citroen","Regular","Centre",741
35361,1129,1,0.28,"i",8,26,"Mercedes, Chrysler or BMW","Diesel","Centre",741
35448,1884,1,0.54,"g",8,20,"Renault, Nissan or Citroen","Diesel","Bretagne",3021
35451,1098,1,0.29,"f",4,31,"Volkswagen, Audi, Skoda or Seat","Diesel","Nord-Pas-de-Calais",3095
35467,1166,1,0.8,"f",14,23,"Renault, Nissan or Citroen","Diesel","Centre",38
35473,1144,1,0.94,"e",9,30,"Renault, Nissan or Citroen","Diesel","Centre",78
35477,1041,1,0.42,"g",4,60,"Renault, Nissan or Citroen","Regular","Centre",61
35513,1141,1,0.08,"f",9,36,"Renault, Nissan or Citroen","Diesel","Centre",1313
35519,1113,1,0.81,"f",2,29,"Renault, Nissan or Citroen","Diesel","Centre",1313
35551,1183,1,0.68,"e",11,22,"Opel, General Motors or Ford","Diesel","Centre",61
35558,79,1,0.66,"n",16,47,"other","Regular","Centre",155
35583,80,1,0.56,"f",9,20,"Renault, Nissan or Citroen","Diesel","Centre",109
35585,1049,1,0.51,"e",4,51,"Opel, General Motors or Ford","Regular","Centre",1313
35601,2267,1,0.91,"e",7,26,"Volkswagen, Audi, Skoda or Seat","Diesel","Bretagne",473
35718,1151,1,0.08,"j",7,51,"other","Diesel","Centre",12
35740,1174,1,0.23,"g",14,59,"Opel, General Motors or Ford","Regular","Centre",3866
35754,297,1,0.24,"j",2,65,"Fiat","Diesel","Centre",49
35760,71,1,0.75,"f",9,43,"Fiat","Diesel","Centre",405
35792,1455,1,0.67,"g",15,50,"Renault, Nissan or Citroen","Regular","Centre",405
35794,1104,1,0.61,"f",8,34,"Renault, Nissan or Citroen","Diesel","Centre",405
35796,198,1,0.65,"d",14,30,"Renault, Nissan or Citroen","Diesel","Centre",12
35808,1071,1,0.6,"f",9,55,"Renault, Nissan or Citroen","Diesel","Centre",12
35812,1072,1,0.26,"f",2,28,"Renault, Nissan or Citroen","Regular","Centre",1943
35814,1134,1,0.53,"g",8,21,"Renault, Nissan or Citroen","Regular","Centre",49
35846,1118,1,0.33,"f",10,25,"Renault, Nissan or Citroen","Diesel","Centre",11
35853,58,1,0.43,"h",0,41,"Japanese (except Nissan) or Korean","Diesel","Centre",405
35859,65,1,0.37,"j",7,28,"Fiat","Regular","Centre",405
35868,829,1,0.49,"e",2,26,"Volkswagen, Audi, Skoda or Seat","Diesel","Aquitaine",1287
35911,8222,1,0.33,"e",9,40,"Opel, General Motors or Ford","Diesel","Aquitaine",312
35920,5,1,0.32,"g",5,44,"Mercedes, Chrysler or BMW","Diesel","Aquitaine",4348
36001,1239,1,0.1,"g",13,21,"Renault, Nissan or Citroen","Regular","Centre",91
36032,2842,1,0.01,"f",18,20,"Renault, Nissan or Citroen","Regular","Centre",3866
36063,1139,1,0.14,"f",5,40,"Renault, Nissan or Citroen","Diesel","Centre",45
36140,992,2,0.04,"g",8,19,"Renault, Nissan or Citroen","Regular","Basse-Normandie",2103
36140,1137,2,0.04,"g",8,19,"Renault, Nissan or Citroen","Regular","Basse-Normandie",2103
36146,1117,1,0.17,"e",14,44,"Fiat","Regular","Basse-Normandie",139
36162,243,1,0.55,"e",7,57,"Opel, General Motors or Ford","Diesel","Centre",1313
36226,1150,1,0.44,"f",10,24,"Volkswagen, Audi, Skoda or Seat","Regular","Aquitaine",1535
36235,917,1,0.3,"g",12,20,"Renault, Nissan or Citroen","Regular","Centre",1313
36239,1138,1,0.38,"j",14,23,"Renault, Nissan or Citroen","Diesel","Centre",222
36246,1113,1,0.36,"f",12,21,"Renault, Nissan or Citroen","Regular","Centre",298
36250,4350,1,0.34,"j",13,30,"Mercedes, Chrysler or BMW","Diesel","Pays-de-la-Loire",1920
36391,1051,1,0.5,"e",5,55,"other","Diesel","Bretagne",1165
36393,1156,1,0.5,"h",11,51,"Renault, Nissan or Citroen","Diesel","Bretagne",158
36405,1576,1,0.46,"i",12,44,"Volkswagen, Audi, Skoda or Seat","Regular","Bretagne",461
36407,1082,1,0.42,"f",12,56,"Renault, Nissan or Citroen","Diesel","Bretagne",1244
36411,661,1,0.06,"d",15,65,"Opel, General Motors or Ford","Regular","Bretagne",111
36485,1143,1,0.15,"g",11,18,"Renault, Nissan or Citroen","Regular","Centre",151
36532,1173,1,0.25,"d",11,21,"Renault, Nissan or Citroen","Diesel","Centre",41
36540,754,1,0.14,"e",14,18,"Renault, Nissan or Citroen","Diesel","Centre",44
36566,1097,1,0.12,"d",5,30,"Renault, Nissan or Citroen","Regular","Centre",614
36588,7706,1,0.33,"e",0,27,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",1054
36632,400,1,0.05,"m",10,31,"Mercedes, Chrysler or BMW","Regular","Ile-de-France",6465
36742,656,1,0.45,"f",9,49,"Renault, Nissan or Citroen","Diesel","Centre",12
36767,79,1,0.29,"g",10,43,"Renault, Nissan or Citroen","Regular","Centre",405
36793,3215,1,0.15,"i",7,18,"Opel, General Motors or Ford","Regular","Centre",10
36853,52,1,0.13,"i",11,20,"Volkswagen, Audi, Skoda or Seat","Regular","Nord-Pas-de-Calais",1466
36896,2184,2,0.46,"e",2,48,"Opel, General Motors or Ford","Regular","Nord-Pas-de-Calais",3095
36896,1786,2,0.46,"e",2,48,"Opel, General Motors or Ford","Regular","Nord-Pas-de-Calais",3095
36920,1068,1,0.31,"g",11,48,"Volkswagen, Audi, Skoda or Seat","Regular","Nord-Pas-de-Calais",3321
36991,1106,1,0.09,"g",4,21,"Fiat","Diesel","Centre",271
36997,2727,1,0.03,"e",4,30,"Opel, General Motors or Ford","Diesel","Centre",271
37009,1384,1,0.25,"d",6,24,"Renault, Nissan or Citroen","Regular","Poitou-Charentes",657
37033,1117,1,0.27,"h",15,41,"other","Regular","Basse-Normandie",2103
37098,545,1,0.23,"d",10,18,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",395
37180,404,1,0.33,"d",4,48,"Opel, General Motors or Ford","Regular","Nord-Pas-de-Calais",542
37186,1105,1,0.07,"g",7,47,"Volkswagen, Audi, Skoda or Seat","Diesel","Nord-Pas-de-Calais",542
37221,1178,1,1,"e",4,74,"Renault, Nissan or Citroen","Regular","Centre",298
37250,1215,1,0.00819672131147541,"f",9,76,"Renault, Nissan or Citroen","Regular","Centre",405
37260,32,1,0.44,"d",9,37,"Renault, Nissan or Citroen","Diesel","Centre",27
37302,1232,1,0.73,"g",7,80,"Renault, Nissan or Citroen","Regular","Centre",78
37339,585,1,0.58,"f",2,42,"Japanese (except Nissan) or Korean","Regular","Centre",182
37375,1140,1,1,"h",5,53,"Fiat","Diesel","Centre",84
37395,1574,1,1,"g",2,68,"Renault, Nissan or Citroen","Regular","Centre",255
37459,3453,1,0.37,"e",2,50,"Opel, General Motors or Ford","Regular","Centre",493
