PolicyID,ClaimNb,Exposure,Power,CarAge,DriverAge,Brand,Gas,Region,Density,ClaimAmount
28181,1,0.66,i,10,25,"Renault, Nissan or Citroen",Regular,Aquitaine,4348,196
28211,1,1.0,f,8,34,Fiat,Diesel,Aquitaine,300,653
28237,1,1.0,d,5,31,"Renault, Nissan or Citroen",Diesel,Aquitaine,53,289
28257,1,1.0,e,1,79,"Renault, Nissan or Citroen",Regular,Aquitaine,197,1121
28269,2,1.0,g,7,35,"Renault, Nissan or Citroen",Diesel,Aquitaine,4253,434
28269,2,1.0,g,7,35,"Renault, Nissan or Citroen",Diesel,Aquitaine,4253,1452
28287,1,0.8,e,1,71,"Renault, Nissan or Citroen",Regular,Aquitaine,4348,1101
28290,1,0.41,h,12,53,"Renault, Nissan or Citroen",Regular,Aquitaine,4456,1114
28302,1,1.0,f,4,37,"Opel, General Motors or Ford",Regular,Aquitaine,116,797
28304,2,1.0,h,3,30,"Renault, Nissan or Citroen",Diesel,Aquitaine,520,1178
28304,2,1.0,h,3,30,"Renault, Nissan or Citroen",Diesel,Aquitaine,520,1122
28308,1,1.0,f,1,53,"Volkswagen, Audi, Skoda or Seat",Diesel,Aquitaine,200,1178
28322,1,0.82,d,5,38,"Renault, Nissan or Citroen",Diesel,Aquitaine,1445,1114
28324,1,0.03,f,4,45,"Renault, Nissan or Citroen",Diesel,Aquitaine,47,422
28326,1,0.59,k,1,45,other,Diesel,Aquitaine,47,9703
28329,1,0.63,f,1,33,"Opel, General Motors or Ford",Diesel,Aquitaine,1445,4961
28336,1,1.0,j,4,47,"Renault, Nissan or Citroen",Regular,Aquitaine,4456,750
28343,1,0.15,i,6,21,"Volkswagen, Audi, Skoda or Seat",Regular,Aquitaine,4348,206
28345,1,1.0,e,6,20,"Renault, Nissan or Citroen",Regular,Aquitaine,31,1154
28362,1,0.62,d,9,44,"Renault, Nissan or Citroen",Diesel,Centre,101,343
28365,1,0.9,k,10,38,"Mercedes, Chrysler or BMW",Regular,Centre,34,840
28373,1,0.63,e,4,26,"Renault, Nissan or Citroen",Regular,Centre,136,4369
28436,1,0.6,f,5,44,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,874,71
28451,1,0.48,i,0,31,"Renault, Nissan or Citroen",Regular,Ile-de-France,15703,1131
28456,1,0.2,k,4,50,"Opel, General Motors or Ford",Diesel,Centre,9,1152
28498,1,1.0,e,9,71,"Renault, Nissan or Citroen",Regular,Bretagne,747,1142
28500,1,0.13,f,8,25,"Opel, General Motors or Ford",Regular,Aquitaine,300,1143
28544,1,0.98,e,1,52,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,359,76
28547,1,0.73,d,10,27,"Renault, Nissan or Citroen",Regular,Ile-de-France,6729,1118
28556,1,0.88,e,1,61,"Opel, General Motors or Ford",Regular,Bretagne,747,1160
28564,1,1.0,i,3,57,"Mercedes, Chrysler or BMW",Diesel,Bretagne,118,1652
28567,1,1.0,f,9,35,"Renault, Nissan or Citroen",Diesel,Bretagne,247,1103
28618,1,0.05,e,4,35,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,98,2006
28666,1,0.14,d,8,20,"Renault, Nissan or Citroen",Regular,Ile-de-France,473,994
28679,1,1.0,h,12,35,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,91,56
28695,1,0.5,f,14,21,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,91,1177
28700,1,1.0,f,13,36,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,82,238
28705,1,1.0,f,8,77,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,91,1174
28753,1,1.0,d,10,38,"Renault, Nissan or Citroen",Regular,Centre,99,1140
28758,2,0.79,d,12,26,"Renault, Nissan or Citroen",Regular,Centre,81,1158
28758,2,0.79,d,12,26,"Renault, Nissan or Citroen",Regular,Centre,81,1132
28770,1,0.68,f,9,50,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,43,609
28772,1,1.0,f,12,50,"Renault, Nissan or Citroen",Regular,Centre,14,217
28779,1,0.75,d,3,70,"Renault, Nissan or Citroen",Regular,Centre,81,1151
28814,1,1.0,e,12,67,"Renault, Nissan or Citroen",Diesel,Centre,220,572
28822,1,0.49,f,10,55,"Renault, Nissan or Citroen",Diesel,Centre,31,1117
28833,1,0.96,h,18,34,"Renault, Nissan or Citroen",Diesel,Centre,20,269
28876,1,0.34,e,10,52,"Renault, Nissan or Citroen",Diesel,Centre,84,1382
28897,1,1.0,d,11,21,"Renault, Nissan or Citroen",Regular,Centre,1313,1167
28934,1,0.22,g,9,40,"Renault, Nissan or Citroen",Diesel,Centre,155,1124
28953,1,0.24,f,7,26,"Renault, Nissan or Citroen",Diesel,Centre,1313,3040
28962,1,1.0,i,8,43,"Renault, Nissan or Citroen",Regular,Centre,1313,1123
28982,1,0.33,f,4,29,"Opel, General Motors or Ford",Regular,Centre,1313,461
29019,1,0.69,f,14,27,"Renault, Nissan or Citroen",Diesel,Centre,1064,1107
29027,1,1.0,g,7,36,"Renault, Nissan or Citroen",Regular,Centre,57,1161
29038,1,0.3,f,10,22,"Renault, Nissan or Citroen",Regular,Centre,11,613
29083,1,0.21,f,7,26,"Renault, Nissan or Citroen",Diesel,Centre,47,2272
29088,1,1.0,g,4,49,"Mercedes, Chrysler or BMW",Diesel,Centre,11,1138
29104,1,1.0,f,5,54,"Renault, Nissan or Citroen",Diesel,Centre,23,1179
29110,1,0.37,g,14,29,"Renault, Nissan or Citroen",Regular,Centre,399,1164
29119,1,0.07,e,6,20,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,57,1216
29160,1,0.83,e,0,53,"Renault, Nissan or Citroen",Diesel,Centre,57,1907
29191,1,0.48,e,2,39,Fiat,Diesel,Aquitaine,2620,20909
29223,1,0.32,e,8,22,"Renault, Nissan or Citroen",Diesel,Aquitaine,1846,1143
29225,1,1.0,d,13,21,"Renault, Nissan or Citroen",Regular,Aquitaine,685,1118
29227,1,1.0,e,4,24,"Renault, Nissan or Citroen",Diesel,Aquitaine,2620,1096
29230,1,1.0,f,11,29,"Renault, Nissan or Citroen",Diesel,Aquitaine,2620,1153
29256,1,0.81,j,8,40,"Opel, General Motors or Ford",Diesel,Pays-de-la-Loire,1408,1245
29288,1,0.09,g,6,27,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,4128,2526
29302,1,0.25,g,17,19,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,763,1171
29390,1,0.96,d,5,47,Fiat,Regular,Poitou-Charentes,2694,1184
29407,1,1.0,e,11,80,"Renault, Nissan or Citroen",Diesel,Poitou-Charentes,270,1077
29483,1,0.33,e,8,32,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,115,4712
29489,1,0.67,f,10,53,"Renault, Nissan or Citroen",Diesel,Centre,46,640
29525,1,0.54,e,1,21,"Renault, Nissan or Citroen",Regular,Centre,115,4233
29553,1,1.0,d,3,38,"Opel, General Motors or Ford",Regular,Poitou-Charentes,227,56
29600,1,0.77,f,12,48,"Renault, Nissan or Citroen",Diesel,Poitou-Charentes,71,1093
29714,1,0.38,e,5,25,"Opel, General Motors or Ford",Diesel,Ile-de-France,3238,71
29747,1,1.0,g,15,57,"Mercedes, Chrysler or BMW",Regular,Bretagne,112,1666
29754,2,0.29,e,12,19,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,1192,1825
29754,2,0.29,e,12,19,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,1192,1091
29770,1,0.09,f,9,26,"Renault, Nissan or Citroen",Regular,Bretagne,100,2216
29783,1,0.58,f,7,46,"Volkswagen, Audi, Skoda or Seat",Diesel,Pays-de-la-Loire,4128,1121
29818,1,0.27,f,8,50,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,4128,1118
29828,1,0.09,f,0,38,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,490,950
29911,1,0.75,f,10,62,"Renault, Nissan or Citroen",Diesel,Centre,50,95
29943,1,0.53,g,0,40,"Mercedes, Chrysler or BMW",Diesel,Aquitaine,241,1141
29972,1,0.34,f,1,47,"Renault, Nissan or Citroen",Diesel,Centre,29,1091
29985,1,0.42,f,13,45,"Renault, Nissan or Citroen",Diesel,Centre,298,1167
29994,1,0.95,f,7,25,"Renault, Nissan or Citroen",Diesel,Centre,83,1070
30009,2,0.95,g,7,30,"Mercedes, Chrysler or BMW",Diesel,Pays-de-la-Loire,1920,2218
30009,2,0.95,g,7,30,"Mercedes, Chrysler or BMW",Diesel,Pays-de-la-Loire,1920,1084
30037,1,0.33,d,1,20,"Renault, Nissan or Citroen",Regular,Centre,1313,1138
30057,1,0.79,f,10,19,"Renault, Nissan or Citroen",Regular,Centre,1313,1117
30059,1,0.38,f,12,20,"Renault, Nissan or Citroen",Diesel,Centre,1313,1977
30064,1,0.17,g,4,37,"Renault, Nissan or Citroen",Diesel,Centre,60,412
30098,1,0.93,j,12,54,"Opel, General Motors or Ford",Diesel,Centre,4116,1146
30105,1,0.72,j,4,31,Fiat,Regular,Ile-de-France,3274,1110
30126,1,0.008196721,e,4,21,"Renault, Nissan or Citroen",Regular,Centre,170,127
30127,1,0.65,d,1,21,"Renault, Nissan or Citroen",Regular,Centre,170,1171
30203,1,1.0,e,5,40,"Opel, General Motors or Ford",Diesel,Pays-de-la-Loire,26,1173
30210,1,1.0,e,15,40,"Renault, Nissan or Citroen",Diesel,Aquitaine,1846,590
30215,1,1.0,f,14,62,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,3541,1108
30216,1,1.0,j,4,38,"Opel, General Motors or Ford",Diesel,Pays-de-la-Loire,3541,39
30217,1,1.0,f,3,38,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,3541,617
30231,1,0.69,f,11,44,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,251,1104
30240,1,0.34,f,10,23,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,820,1188
30245,1,0.1,f,3,40,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,674,844
30310,1,1.0,d,12,69,"Renault, Nissan or Citroen",Regular,Centre,38,695
30339,1,1.0,e,3,34,"Opel, General Motors or Ford",Diesel,Centre,26,275
30341,1,1.0,g,11,44,"Renault, Nissan or Citroen",Regular,Centre,56,1134
30342,1,1.0,f,1,29,"Renault, Nissan or Citroen",Diesel,Centre,57,327
30418,1,0.56,f,3,27,"Renault, Nissan or Citroen",Diesel,Ile-de-France,10477,1123
30481,1,1.0,f,6,67,"Renault, Nissan or Citroen",Regular,Nord-Pas-de-Calais,2606,1429
30484,1,1.0,f,14,40,Japanese (except Nissan) or Korean,Regular,Nord-Pas-de-Calais,845,1146
30490,1,1.0,d,9,77,"Opel, General Motors or Ford",Regular,Nord-Pas-de-Calais,874,1138
30493,1,1.0,f,3,41,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,2949,1121
30511,1,0.54,g,7,36,"Renault, Nissan or Citroen",Regular,Nord-Pas-de-Calais,845,1100
30518,1,1.0,e,8,30,"Volkswagen, Audi, Skoda or Seat",Regular,Nord-Pas-de-Calais,2606,1102
30529,1,0.23,e,0,36,"Volkswagen, Audi, Skoda or Seat",Diesel,Nord-Pas-de-Calais,357,1108
30569,1,0.49,d,10,33,"Volkswagen, Audi, Skoda or Seat",Diesel,Nord-Pas-de-Calais,1059,1116
30686,1,0.24,f,7,20,"Renault, Nissan or Citroen",Diesel,Bretagne,355,600
30705,1,0.29,e,0,22,"Volkswagen, Audi, Skoda or Seat",Regular,Bretagne,48,578
30706,2,1.0,f,5,66,"Renault, Nissan or Citroen",Diesel,Bretagne,65,1156
30706,2,1.0,f,5,66,"Renault, Nissan or Citroen",Diesel,Bretagne,65,1620
30717,1,0.25,e,7,24,"Opel, General Motors or Ford",Diesel,Bretagne,46,89
30735,1,1.0,h,8,49,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,51,1074
30740,1,0.66,f,7,26,"Opel, General Motors or Ford",Regular,Bretagne,1385,1155
30827,1,0.46,d,13,19,"Renault, Nissan or Citroen",Regular,Centre,59,1165
30833,1,1.0,g,4,40,"Opel, General Motors or Ford",Regular,Centre,298,2333
30841,1,1.0,f,1,36,"Renault, Nissan or Citroen",Regular,Ile-de-France,22669,638
30876,1,0.73,e,8,26,"Opel, General Motors or Ford",Diesel,Aquitaine,2580,1075
30886,1,0.91,g,11,31,"Mercedes, Chrysler or BMW",Diesel,Aquitaine,53,1080
30889,1,0.3,g,17,44,"Renault, Nissan or Citroen",Regular,Centre,155,1097
30932,1,0.45,f,7,51,"Volkswagen, Audi, Skoda or Seat",Diesel,Nord-Pas-de-Calais,2039,310
30939,1,1.0,d,1,44,"Opel, General Motors or Ford",Diesel,Nord-Pas-de-Calais,6157,53
30948,1,0.07,e,12,47,"Opel, General Motors or Ford",Diesel,Nord-Pas-de-Calais,84,2211
30952,1,0.63,k,9,49,other,Diesel,Nord-Pas-de-Calais,110,1070
30971,1,0.13,e,15,20,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,181,1072
30987,1,1.0,d,12,20,"Volkswagen, Audi, Skoda or Seat",Regular,Nord-Pas-de-Calais,7259,1183
30990,1,1.0,d,15,23,"Opel, General Motors or Ford",Regular,Nord-Pas-de-Calais,817,1132
31013,1,0.16,d,11,23,"Opel, General Motors or Ford",Diesel,Centre,12,67
31020,1,1.0,g,16,49,"Opel, General Motors or Ford",Regular,Centre,12,103
31060,1,1.0,f,7,55,"Renault, Nissan or Citroen",Diesel,Ile-de-France,8561,1134
31093,2,0.83,e,13,19,"Renault, Nissan or Citroen",Regular,Centre,13,68
31093,2,0.83,e,13,19,"Renault, Nissan or Citroen",Regular,Centre,13,535
31099,1,0.83,d,10,25,"Renault, Nissan or Citroen",Regular,Centre,1313,500
31102,1,0.55,l,5,36,"Mercedes, Chrysler or BMW",Diesel,Centre,14,1125
31103,1,0.44,l,5,36,"Mercedes, Chrysler or BMW",Diesel,Centre,14,596
31143,1,0.66,e,0,60,"Opel, General Motors or Ford",Regular,Centre,14,203
31170,1,0.45,i,5,20,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,29,1097
31182,1,0.37,g,1,23,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,444,783
31223,1,0.45,g,12,70,"Renault, Nissan or Citroen",Regular,Poitou-Charentes,1974,1117
31250,1,1.0,f,7,24,"Renault, Nissan or Citroen",Regular,Centre,2399,958
31264,1,0.8,f,11,39,"Renault, Nissan or Citroen",Regular,Centre,144,2045
31273,1,0.17,g,5,31,"Opel, General Motors or Ford",Regular,Ile-de-France,104,1746
31274,1,0.42,g,3,31,"Opel, General Motors or Ford",Regular,Ile-de-France,104,1078
31297,1,1.0,i,8,33,"Mercedes, Chrysler or BMW",Regular,Centre,1314,1146
31355,1,0.75,d,5,52,other,Regular,Centre,312,37
31382,1,0.11,f,12,25,"Renault, Nissan or Citroen",Diesel,Ile-de-France,704,1579
31423,1,0.39,e,10,49,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,388,1074
31496,1,0.53,e,4,31,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,94,5179
31499,1,0.45,j,19,49,"Mercedes, Chrysler or BMW",Diesel,Bretagne,229,14737
31542,1,0.85,d,5,30,"Opel, General Motors or Ford",Diesel,Centre,2715,1864
31556,1,1.0,g,2,70,"Renault, Nissan or Citroen",Regular,Centre,26,1200
31592,1,0.21,f,7,24,"Renault, Nissan or Citroen",Diesel,Centre,56,7785
31628,1,1.0,f,7,45,"Renault, Nissan or Citroen",Diesel,Ile-de-France,6570,644
31641,1,0.5,f,9,22,"Renault, Nissan or Citroen",Diesel,Centre,741,486
31676,1,0.05,e,16,49,"Renault, Nissan or Citroen",Regular,Centre,192,371
31723,1,0.02,d,12,66,"Renault, Nissan or Citroen",Regular,Centre,91,1091
31775,1,0.51,d,23,36,"Renault, Nissan or Citroen",Regular,Centre,57,264
31779,1,0.75,g,1,57,"Renault, Nissan or Citroen",Diesel,Centre,23,1195
31832,1,0.31,f,4,40,"Renault, Nissan or Citroen",Diesel,Centre,13,1206
31879,1,0.72,h,4,32,"Renault, Nissan or Citroen",Diesel,Centre,44,23
31883,1,1.0,h,19,29,"Renault, Nissan or Citroen",Diesel,Centre,1054,1266
31893,2,0.46,f,13,63,"Renault, Nissan or Citroen",Diesel,Centre,1054,3319
31893,2,0.46,f,13,63,"Renault, Nissan or Citroen",Diesel,Centre,1054,256
31903,1,0.57,e,11,44,Fiat,Regular,Centre,1054,1165
31923,1,0.07,i,13,43,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,1489,5901
31938,1,1.0,h,9,57,"Mercedes, Chrysler or BMW",Diesel,Centre,126,179
31940,1,0.82,d,3,27,"Opel, General Motors or Ford",Diesel,Centre,1054,1211
31945,1,0.51,f,15,44,other,Regular,Centre,399,48
31958,1,0.1,e,14,25,"Renault, Nissan or Citroen",Regular,Centre,1054,1082
31972,1,1.0,g,1,44,"Volkswagen, Audi, Skoda or Seat",Regular,Ile-de-France,465,70
31996,1,1.0,e,6,34,"Opel, General Motors or Ford",Diesel,Centre,1054,208
32013,1,0.72,g,12,62,"Renault, Nissan or Citroen",Regular,Centre,1054,2463
32033,1,0.91,e,4,37,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,73,3847
32046,1,0.72,g,12,52,Japanese (except Nissan) or Korean,Diesel,Centre,1054,1115
32051,1,0.21,f,9,57,"Renault, Nissan or Citroen",Diesel,Centre,1054,1132
32056,1,0.48,g,5,63,"Renault, Nissan or Citroen",Regular,Centre,1054,549
32070,1,0.61,f,1,42,"Renault, Nissan or Citroen",Diesel,Centre,7,2382
32081,1,0.13,f,3,53,"Opel, General Motors or Ford",Regular,Centre,1054,922
32104,1,0.02,h,15,21,"Opel, General Motors or Ford",Regular,Centre,1054,1929
32105,1,0.05,h,15,21,"Opel, General Motors or Ford",Regular,Centre,1054,2273
32111,1,0.63,g,12,44,"Renault, Nissan or Citroen",Diesel,Centre,308,2392
32112,1,0.16,g,14,25,"Renault, Nissan or Citroen",Diesel,Centre,1054,1128
32113,2,0.46,g,14,25,"Renault, Nissan or Citroen",Diesel,Centre,1054,1075
32113,2,0.46,g,14,25,"Renault, Nissan or Citroen",Diesel,Centre,1054,1106
32127,1,0.58,f,16,38,"Renault, Nissan or Citroen",Diesel,Centre,1054,1074
32130,1,0.54,g,5,50,"Mercedes, Chrysler or BMW",Diesel,Centre,1054,371
32135,1,0.41,e,2,40,"Mercedes, Chrysler or BMW",Diesel,Centre,376,1171
32139,1,0.5,g,0,52,"Opel, General Motors or Ford",Regular,Centre,128,45
32156,1,0.18,d,8,27,Fiat,Regular,Centre,1054,481
32160,1,0.25,f,14,23,"Renault, Nissan or Citroen",Regular,Centre,1054,76
32175,1,0.33,d,16,21,"Renault, Nissan or Citroen",Regular,Centre,1054,1136
32236,1,0.42,f,18,19,"Volkswagen, Audi, Skoda or Seat",Diesel,Nord-Pas-de-Calais,65,500
32257,1,0.18,e,0,31,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,180,563
32279,1,0.19,g,12,34,"Opel, General Motors or Ford",Diesel,Nord-Pas-de-Calais,330,497
32294,1,0.8,d,0,26,"Renault, Nissan or Citroen",Regular,Ile-de-France,27000,558
32296,1,0.75,g,1,50,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,1920,116
32297,1,1.0,d,6,44,Fiat,Regular,Aquitaine,1445,1101
32316,1,1.0,d,9,66,Fiat,Regular,Aquitaine,4253,1185
32327,1,1.0,g,13,51,"Renault, Nissan or Citroen",Diesel,Aquitaine,1535,1150
32353,1,0.88,f,6,60,"Renault, Nissan or Citroen",Diesel,Aquitaine,52,2047
32385,1,0.84,f,1,48,other,Diesel,Aquitaine,254,1300
32387,1,0.83,e,4,57,"Renault, Nissan or Citroen",Diesel,Aquitaine,300,1165
32412,1,0.79,d,10,49,"Renault, Nissan or Citroen",Diesel,Aquitaine,2906,812
32454,1,0.11,d,14,55,"Renault, Nissan or Citroen",Regular,Aquitaine,170,1143
32464,1,0.65,g,10,24,"Renault, Nissan or Citroen",Diesel,Aquitaine,82,1137
32478,1,0.58,g,4,37,"Renault, Nissan or Citroen",Diesel,Aquitaine,1882,717
32485,1,0.54,o,0,75,other,Regular,Aquitaine,4348,1072
32507,1,0.07,h,16,24,"Renault, Nissan or Citroen",Regular,Bretagne,644,381
32524,1,0.11,h,3,53,"Renault, Nissan or Citroen",Diesel,Bretagne,644,1125
32528,1,1.0,i,9,33,"Renault, Nissan or Citroen",Regular,Ile-de-France,1350,1141
32550,1,0.37,g,8,30,"Opel, General Motors or Ford",Regular,Bretagne,3386,1167
32561,1,0.65,f,9,48,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,644,2705
32563,1,0.44,h,10,55,"Renault, Nissan or Citroen",Diesel,Bretagne,73,114
32608,1,0.64,e,10,20,"Renault, Nissan or Citroen",Regular,Bretagne,644,223
32632,1,0.12,g,8,43,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,4128,1141
32637,1,0.05,e,14,22,"Renault, Nissan or Citroen",Regular,Centre,30,704
32640,1,1.0,f,2,31,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,16,1131
32656,1,0.41,j,4,70,"Renault, Nissan or Citroen",Regular,Ile-de-France,27000,986
32678,1,1.0,g,2,31,"Opel, General Motors or Ford",Regular,Haute-Normandie,4059,82
32679,1,0.89,g,2,35,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,7887,142
32700,1,0.89,e,17,19,"Volkswagen, Audi, Skoda or Seat",Regular,Aquitaine,53,277
32705,1,0.89,g,9,26,Fiat,Diesel,Aquitaine,37,1092
32709,1,0.2,d,11,39,"Volkswagen, Audi, Skoda or Seat",Diesel,Aquitaine,2620,2374
32716,1,0.46,d,10,21,"Renault, Nissan or Citroen",Regular,Aquitaine,92,1110
32724,1,0.03,e,2,54,"Renault, Nissan or Citroen",Diesel,Aquitaine,260,1746
32759,1,0.35,j,10,71,"Renault, Nissan or Citroen",Regular,Aquitaine,32,1219
32761,1,0.13,h,10,25,"Renault, Nissan or Citroen",Diesel,Aquitaine,120,13000
32802,1,1.0,d,13,32,"Opel, General Motors or Ford",Diesel,Bretagne,461,1138
32809,1,1.0,i,8,43,"Renault, Nissan or Citroen",Regular,Bretagne,139,1227
32812,1,0.18,i,10,20,"Volkswagen, Audi, Skoda or Seat",Regular,Bretagne,1690,1163
32826,1,0.05,g,12,55,"Mercedes, Chrysler or BMW",Diesel,Bretagne,3021,1120
32832,1,0.36,h,9,45,"Volkswagen, Audi, Skoda or Seat",Regular,Bretagne,285,1096
32839,1,0.23,g,13,37,"Mercedes, Chrysler or BMW",Regular,Bretagne,73,1121
32861,1,0.38,g,8,40,"Renault, Nissan or Citroen",Diesel,Bretagne,3021,1189
32896,1,0.66,e,13,56,"Renault, Nissan or Citroen",Regular,Centre,7,1099
32914,1,0.88,i,13,51,"Mercedes, Chrysler or BMW",Diesel,Centre,3866,1085
32921,1,1.0,g,5,48,"Opel, General Motors or Ford",Diesel,Centre,149,1121
32938,1,1.0,f,18,79,"Opel, General Motors or Ford",Regular,Centre,9,1191
32986,1,0.21,f,4,20,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,222,2352
32991,1,0.32,g,15,19,"Opel, General Motors or Ford",Regular,Centre,394,1178
33001,1,0.4,d,11,42,"Renault, Nissan or Citroen",Diesel,Centre,239,2902
33089,1,0.93,f,5,68,"Renault, Nissan or Citroen",Diesel,Centre,2715,1116
33102,1,0.99,f,12,44,"Renault, Nissan or Citroen",Diesel,Centre,57,1097
33106,1,0.33,g,18,20,"Renault, Nissan or Citroen",Regular,Centre,4116,1140
33145,1,0.69,f,6,26,"Renault, Nissan or Citroen",Diesel,Centre,176,1083
33149,1,0.43,f,7,47,"Renault, Nissan or Citroen",Diesel,Centre,4116,2210
33154,1,0.06,h,9,27,"Opel, General Motors or Ford",Regular,Centre,1027,1191
33164,2,0.75,e,14,44,"Renault, Nissan or Citroen",Regular,Centre,44,2017
33164,2,0.75,e,14,44,"Renault, Nissan or Citroen",Regular,Centre,44,1164
33165,1,0.75,d,13,82,"Renault, Nissan or Citroen",Regular,Centre,4116,1097
33166,1,0.08,e,16,34,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,4116,763
33195,1,0.12,f,6,20,"Renault, Nissan or Citroen",Diesel,Centre,26,96
33216,1,0.47,e,16,35,"Renault, Nissan or Citroen",Diesel,Ile-de-France,9817,1137
33227,1,0.77,m,7,47,"Mercedes, Chrysler or BMW",Regular,Centre,1943,60
33242,1,0.64,g,10,52,"Renault, Nissan or Citroen",Regular,Centre,51,201
33248,1,0.25,h,4,22,Fiat,Diesel,Centre,42,1178
33257,1,0.47,e,6,43,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,33,1078
33265,1,0.58,e,8,39,"Renault, Nissan or Citroen",Diesel,Centre,42,374
33273,1,0.52,f,14,39,Fiat,Regular,Centre,49,1306
33289,1,0.26,f,7,43,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,25,4161
33297,1,0.31,e,0,49,"Renault, Nissan or Citroen",Diesel,Centre,2928,1775
33342,1,0.77,f,9,47,Fiat,Diesel,Centre,8,1228
33344,1,1.0,g,15,47,"Renault, Nissan or Citroen",Regular,Centre,8,1155
33354,1,0.31,f,7,19,"Volkswagen, Audi, Skoda or Seat",Diesel,Pays-de-la-Loire,3541,348
33388,1,0.86,d,6,48,Fiat,Regular,Centre,1313,1137
33389,1,0.07,g,16,21,"Renault, Nissan or Citroen",Regular,Centre,10,1146
33402,1,0.66,f,9,23,Fiat,Regular,Centre,369,1106
33430,1,0.81,g,14,30,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,1313,638
33437,1,0.77,g,1,55,"Renault, Nissan or Citroen",Diesel,Centre,1313,525
33525,1,1.0,d,12,80,"Opel, General Motors or Ford",Regular,Nord-Pas-de-Calais,1442,1072
33529,1,1.0,f,8,45,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,551,1115
33553,1,0.35,f,3,45,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,3490,1146
33572,1,0.95,e,0,31,"Opel, General Motors or Ford",Diesel,Aquitaine,1445,566
33602,1,0.43,d,9,34,"Renault, Nissan or Citroen",Regular,Nord-Pas-de-Calais,3098,1170
33612,1,0.37,f,13,62,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,3095,1109
33634,1,0.9,d,4,42,"Renault, Nissan or Citroen",Regular,Nord-Pas-de-Calais,1466,1155
33637,1,0.88,d,4,41,"Renault, Nissan or Citroen",Regular,Nord-Pas-de-Calais,269,1159
33650,1,0.78,d,12,49,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,431,1091
33732,1,0.3,f,15,34,"Volkswagen, Audi, Skoda or Seat",Regular,Limousin,213,1031
33748,1,0.35,i,6,27,"Volkswagen, Audi, Skoda or Seat",Regular,Limousin,213,140
33783,1,0.18,h,10,52,other,Diesel,Limousin,9,607
33827,1,0.37,f,0,31,"Renault, Nissan or Citroen",Diesel,Aquitaine,25,893
33885,1,1.0,d,13,60,"Renault, Nissan or Citroen",Regular,Centre,149,1138
33923,1,0.46,g,9,71,Fiat,Diesel,Centre,149,1208
33930,1,1.0,d,4,69,"Renault, Nissan or Citroen",Regular,Centre,149,1167
33939,1,1.0,h,16,24,"Mercedes, Chrysler or BMW",Regular,Centre,149,1016
33943,1,0.96,g,11,74,Fiat,Diesel,Centre,149,3182
33961,1,0.82,d,1,60,"Renault, Nissan or Citroen",Regular,Centre,149,1142
